标题,关键词,类别
克拉克森33+5爵士击沉快船 马尔卡宁23+9沃尔26分,快船,0
加兰21+9骑士28分大胜76人 米切尔18+6大帝19+6+6,大帝,0
莫兰特被逐离场时跟华子握手 赛后喷:裁判太有权势,离场,0
KD:无忧无虑就是最好状态 太想赢反而会影响发挥,发挥,0
攻守兼备!欧文砍27分5助2帽 关键时刻4罚定胜局,欧文,0
年入近亿!库里自曝想当球队老板:如机会合适肯定会,老板,0
锡安33+10+5鹈鹕击退猛龙 特伦特35分西卡23+6,猛龙,0
字母哥37+13+7雄鹿擒尼克斯 霍勒迪22+6巴雷特26分,雄鹿,0
华子29分森林狼咬伤灰熊 戈贝尔1板莫兰特24+5+6,cba,0
20分逆转!雷霆送马刺9连败威廉姆斯27+6吉迪14+14,雷霆,0
太快! 官方:姆巴佩最快速度达35.3km/h 比肩博尔特,速度,0
逆天速度!姆巴佩超绝弯道超车 复刻贝尔经典一幕,一幕,0
世界杯1/4决赛-法国VS英格兰 三狮军团PK高卢雄鸡,vs,6
法国队在更衣室唱歌跳舞 回大本营后受英雄般礼遇,更衣室,0
世界杯-福登2传凯恩破门 英格兰3-0塞内加尔进8强,塞内加尔,0
神佛难挡!法国连续3届打进8强 砸碎卫冕冠军魔咒,卫冕冠军,0
韩国主帅再炮轰FIFA:72小时踢两场球!你们总照顾强队,fifa,0
姆巴佩:比起自己拿世界杯金球奖 我更想法国夺冠,金球奖,0
惺惺相惜!莱万赛后与姆巴佩热聊 洛里对其摸头杀,莱万,0
莱万最后时刻点球打两脚才进 世一锋这届够本了,时刻,0
荷阿法英波澜不惊全进8强 淘汰赛爆冷靠亚洲双雄?,淘汰赛,0
哥俩太亲了！姆巴佩和吉鲁先深情对视，后十指紧扣,姆巴,0
助威团到了!C罗铁粉晒合照 CR7妈妈姐姐全员到齐,cba,0
洪钢:姆巴佩整场折磨波兰后卫 法国攻守非常平衡,后卫,0
最后一届世界杯?莱万:不确定 有几个因素影响我选择,一届,0
索斯盖特:年轻球员都表现惊人 英格兰正在书写历史,英格兰,2
"阿根廷放假 迪马利亚独自""加班"" 战荷兰可替补出战",荷兰,0
放假了！梅西ins晒图秀恩爱 网友：女王和国王,国王,0
后怕!英媒曝斯特林家被抢细节:歹徒进门时妻女都在,斯特林,0
温格暗讽德国:有些队不想着踢球 却专注政治示威,踢球,0
专访德尚:法国队不存在压力 会尽可能走得更远,压力,0
梅西凌晨接受采访惊讶德国出局:世界杯艰难又公平,接受,0
德尚谈孔德:他有点迷信 我本以为他赛前摘掉了,赛前,0
晋级八强后阿根廷球迷难掩兴奋 比心高喊爱中国,八强,4
姆巴佩首次回应拒绝采访:想专注比赛 罚款我自己交,罚款,0
蒂特发飙:我让热苏斯带伤出场?胡说! 我们是有道德的,出场,0
福登：贝林厄姆会成为世界最好中场 法国队最强,法国队,0
墨西哥主帅回国遭大批球迷辱骂: 你就是来抢劫的!,回国,0
马内赛后鼓励塞内加尔:你们给人民带来鼓舞 加油,塞内加尔,0
梅西的里程碑之夜，踢场子的是劳塔罗,梅西,0
美国人为啥非得管足球叫soccer？你错了！soccer才是真正的“足球”,足球,0
阿根廷蜘蛛侠！单场轰6球的00后，世界杯上和梅西激情庆祝！,激情,0
梅西:乌拉圭出局的方式让人遗憾 但我会陪着苏亚雷斯,乌拉圭,0
赢球诛心!朴智星领衔众球星谢C罗:惊人助攻 给你10分,球星,0
澳国脚晒与梅西合影: 见到我成长中的偶像和世界最佳,合影,0
澳主帅狂赞梅西:太不可思议! 史上最伟大球员之一,史上,2
塞内加尔遇麻烦!主帅发烧卧床2天 或缺席1/8决赛,塞内加尔,6
阿圭罗力挺劳塔罗:他将成为关键先生 但需要放下压力,压力,0
澳洲球迷嘲讽梅西 12秒后梅西破门被光速打脸,梅西,0
德尚头疼:踢波兰要防住莱万 但也不能忽视其他人,波兰,0
范加尔心情好!当众亲了赢球功臣一口 后者哈哈笑,赢球,0
波兰门神下战书:谁能阻止姆巴佩? 那必须是我啊!,波兰,0
荷兰淘汰美国 德佩还击巴克利垃圾话:会咬人的狗不叫,淘汰,0
普利西奇向美国球迷道歉:我们很抱歉 现在很痛苦,道歉,0
国家知识产权局:恶意抢注梅西C罗商标的已被驳回,梅西,0
努涅斯发文致歉:梦想破灭了 乌拉圭不该是这样的结局,乌拉圭,0
虽败犹荣!美国队主帅:球员拼尽全力了 我很自豪,主帅,2
世界杯最残酷的谢幕，人类的悲喜并不相通,世界杯,0
世界杯-孙兴慜助攻黄喜灿绝杀  韩国2-1逆转葡萄牙,葡萄牙,0
韩国队出线每位队员获1.6亿奖金 若战胜巴西进账2亿,奖金,0
世界杯16强对阵:巴西-韩国 法国-波兰 阿根廷-澳洲,澳洲,0
死里逃生!韩国惊天逆转 历史第3次晋级世界杯16强,历史,4
C罗献乌龙助攻后 韩国网友为其制作韩国身份证,韩国,0
晋级概率:阿根廷83%领跑 葡萄牙61% 日本46%,葡萄牙,4
梅西将迎生涯第1000场比赛 前999场788球385助攻,生涯,0
"梅西三公子""预言""阿澳战比分 会是神之启示吗?",梅西,0
洪钢称VAR抢戏世界杯:阿根廷输给足球科技与狠活,科技,0
加纳主帅宣布辞职:即使夺冠也走人 我在德国有未来,德国,0
荷兰遭遇大麻烦!多人感染流感 范加尔:我很担忧,遭遇,0
划清界限! 曼联疯狂清仓C罗周边产品 T恤只卖5镑,疯狂,0
摩根:C罗离开曼联后感叹自由真好 他还想踢欧冠,自由,0
专访德尚:我们有三名观察员一直密切关注着波兰队,专访,0
金英权:C罗年纪大了活力降低 他离场时用葡语骂人,离场,0
哨响瞬间孙兴慜扔面罩痛哭 亚洲1哥压力终于释放,瞬间,0
韩国中锋催C罗快点离场 C罗打手势回应让他闭嘴,离场,0
煎熬!韩国赛后集体围观另一场 确定晋级后放肆庆祝,集体,4
韩国总统祝贺韩国队:向全世界展现大韩民国足球,祝贺,0
韩媒:C罗是韩国出线最大的功臣 我们用球技报复他,韩媒,0
众名宿批裁判:乌拉圭被抢劫了 那百分百是个点球,乌拉圭,0
乌拉圭赛后集体围攻裁判 卡瓦尼暴怒染黄谢幕,乌拉圭,0
坐实内讧?比利时出局后5人提前回国 自掏机票钱,比利时,0
世界杯-瑞士3-2险胜塞尔维亚 小组第二晋级16强,瑞士,4
世界杯-阿布巴卡尔补时绝杀+染红 巴西0-1喀麦隆,阿布,0
世界杯-输在了进球数！乌拉圭2-0加纳双双出局,乌拉圭,0
球迷热评孙兴慜痛哭:我看哭了 这种球员怎能不爱,孙兴,2
诸神之一谢幕！苏神连造2球仍无缘晋级 抱头痛哭,无缘,4
C罗与曹圭成互相挑衅 佩佩让后者冷静遭甩手,cba,0
洪钢:姆巴佩能力突出 但格里兹曼打中场是神来之笔,能力,0
反击!卡塔尔人节目中集体捂嘴 挥手讽刺德国出局,集体,0
曝贝尔萨将入主乌拉圭! 疯子主帅将成阿根廷敌人,乌拉圭,0
阿根廷门神爱国心拉满! 把国旗染在了头发上,阿根廷,0
C罗回应下场争议:韩国球员让我快点走 我让他闭嘴,争议,2
德国足球，脸都不要,德国,0
"日本的""装死""战术又成功了!德国拿命帮西班牙出线",西班牙,0
历史首次！女裁判登上世界杯，她为此奋斗了25年,裁判,0
比利时为什么叒内讧了？,比利时,0
世界杯最大黑马!非洲劲旅摩洛哥 其实是一支欧洲队,非洲,0
世界杯-日本3分钟2球 2-1逆转西班牙小组第1晋级,小组,4
世界杯-净胜球没追上！德国4-2哥斯达黎加双双出局,德国,0
世界杯1/8决赛对阵-日本VS克罗地亚 摩洛哥VS西班牙,vs,0
穆勒暗示将退出国家队 诺伊尔表态:我会坚持下去,退出,0
做梦都梦不到的神剧情 E组一波三折西班牙一度出局,西班牙,0
世界首富都震惊了!马斯克发文:祝贺日本世界杯晋级,祝贺,4
飞翔吧蓝武士!哨响瞬间日本全队集体冲进场内庆祝,瞬间,0
亚洲の光!日本队连克2世界冠军 用第1杀出死亡之组,死亡,0
西班牙输日本有阴谋？英国媒体：他们多方面有合作,合作,0
刘建宏赛前言论遭挖坟:没机会 除非日本上15个人,赛前,0
中超-斯坦丘世界波马尔康建功 三镇4-0沧州继续领跑,三镇,0
三镇主帅:有信心捍卫领头羊位置 对山东当决赛踢,信心,6
斯坦利:尽快从失利中走出 谢晖:国安实力非常强,谢晖,0
中超-巴尔加斯处子球武磊点射 海港2-1终止3连败,点射,0
克林斯曼:我确实和中国方面谈过 还跟里皮聊过,中国,5
上海海港官方宣布莱科下课 奚志康担任代理主帅,下课,0
中超-成都2-0广州取4连胜 申花1-0梅州止8轮不胜,不胜,0
曝李铁案有中纪委介入 张鹭被带走时戴上了械具,李铁,0
曝李铁供出3名男足国脚:1人已被带走 明目张胆踢假球,李铁,0
"中超-大冷!邓涵文乌龙""绝杀"" 三镇0-2落后2-3亚泰",亚泰,0
中超-埃沃洛弗兰克连场破门 浙江2-0国安稳居第3,浙江,0
中超-武磊破门卡兰加黄紫昌建功 海港1-3河南3连败,河南,0
厉害炸了!沧州坎特15场13球6助 打三镇泰山狂轰7球,泰山,0
国安主帅:不该输!表现至少配得上1分 这就是足球,表现,0
中超-河北1-4大连人 津门虎1-0广州城 深圳1-2长江,大连人,0
曝张鹭被戴了手铐带走 跟李铁案有关 疑似打假球,李铁,0
曝又有两位知名中国球员被带走 其一是李铁老乡,李铁,2
多位记者爆料前国门张鹭被带走调查: 抽烟喝酒打假球,调查,0
发酵!曝李铁后又1足球人被带走 记者:不是李霄鹏,李铁,0
浙江主帅:努力把3分留在主场 国安主帅:准备好了,主帅,0
郜林回忆交手内马尔:点跟不上 球踢不着人也踢不着,内马尔,0
7-1!青岛海牛9年后杀回中超 乔伟光含泪坚守了18年,青岛,0
苏宁没了中超江苏德比要来了!南通支云提前2轮冲超,苏宁,0
牛!青岛海牛11轮不败+7连胜 2年3级跳提前2轮冲超,青岛,0
这孩子踢球只穿一只球鞋 背后有一个热血故事…,踢球,0
李铁，一个精致的利己主义者,李铁,0
潘粤明:希望国足可以参加下届世界杯 让球迷爽一爽,参加,0
中超-马尔康2球+2中门框 三镇4-0深圳继续领跑,三镇,0
中超首支降级球队诞生!27轮后-6分 提前7轮降级,降级,0
中超-海港爆冷0-1天津 广州1-1 大连人2-1绝杀梅州,大连人,0
前大连总经理谈李铁:铁案如山啦 正义迟到了七年,大连,0
媒体人:李铁早在美国富人区买了豪宅 孩子移民读书,李铁,0
国安主帅:90分钟比赛就像脖子上被人架着一把刀,国安,0
"中超-""二张""进球国安2-1逆转申花 成都3-0广州城",申花,0
米卢:现在接手中国队没问题 国足能打进2026世界杯,中国队,0
国安主帅:想打造像西班牙一样球队 日本队运气不错,打造,0
吴金贵谈申花被扣6分:球员拿命拼来的分就这么扣了,申花,2
河南宣布与外援多拉多解约 因撞翻马宁被禁赛12个月,禁赛,0
申花被扣6分保级无忧 武汉长江跌保级区但还有希望,武汉,0
"河北队26轮后""-6""分成世界奇观 中超19连败等死了",河北,0
中超-罗慕洛双响 泰山1-2蓉城终结5连胜丢榜首,泰山,0
中超-河南深圳中立场胜长江广州 大连人绝平沧州,绝平,0
中超-穆谢奎建功武磊点射 海港1-2不敌10人浙江,点射,0
谢晖:喝酒吹牛都是不成熟 给徐正源道歉后心安了,谢晖,0
国安主帅:从足协杯比赛吸取教训 每场都要争胜,国安,0
中超-巴西三叉戟齐建功 三镇3-0十人梅州返榜首,榜首,0
中超综述-十人国安胜广州 津门虎2-1力克申花,综述,0
比世界杯好看!成都外援两神仙球 角球破门+中线吊射,神仙,0
关震:广州队积分没体现真实实力 每一场都全力以赴,积分,0
国安主帅:吸取足协杯教训 曹永竞:我们要知耻后勇,国安,0
马宁将担任美国战威尔士第四官员 22日凌晨3点亮相,威尔士,0
"24岁""韩国梅西""也要去卡塔尔了! 担任SBS解说嘉宾",担任,0
"足协杯16强-泰山再战德比 三镇V津门虎,东吴V海港",再战,0
业余队原地摆腿踢点球 国安被耍后遭淘汰围堵裁判,淘汰,0
足协杯爆大冷!国安遭业余球队淘汰 淄博胜深圳队,业余,0
足协杯-陈蒲传射 齐鲁德比泰山2-0海牛晋级16强,德比,4
足协杯-陶强龙传射 武汉三镇5-1丹东腾跃进16强,传射,0
三镇青训深耕多年终迎收获时刻 三小将首秀造三球,时刻,0
“孙兴慜记住了我的名字。”,孙兴,0
孙兴慜眼部手术伤痕明显 想在世界杯上好好表现,手术,0
曝李铁遭查与陈戌源为其讨薪有关 卓尔董事长也被带走,李铁,0
国安主帅:年轻球员出战足协杯 需要展示足够能力,能力,2
三镇主帅:足协杯对我们很重要 可以锻炼球员,三镇,2
足协杯综述-中超5队晋级 亚泰爆冷出局吉森轰5球,亚泰,4
足协杯-谭凯元闪击凌杰替补建功 广州队4-2四川九牛,四川,0
足协杯-刘若钒朱建荣各2球 申花5-0北大门进16强,申花,0
来了!孙兴慜抵达卡塔尔会合韩国队 戴面具参加训练,抵达,0
中超第25轮最佳球员:河南杨帅 凌空侧勾技惊四座,河南,2
"""中超最强""升班马豪言全力争冠 开出丰厚冠军奖",全力,0
巴西国脚！中超门将！美国副市长出席 首家中资球队扎根美国,美国,0
"""韩国金童""抵达卡塔尔:最后才知道入选 我状态很好",抵达,0
韩国带4.5吨行李前往卡塔尔 其中有200公斤泡菜,卡塔尔,0
"前国脚""三镇欠薪""言论引发不满 纯属无稽之谈",不满,0
中超-谢鹏飞世界波铁卫建功 三镇1-3遭逆转丢榜首,榜首,0
中超-一波三折!大奎坎特先后双响 浙江3-3沧州,双响,0
中超-根宝系火力全开武磊第8球 海港3-0深圳3连胜,海港,0
这数据太恐怖!武磊重炮破门 怒斩回归之后第8球,数据,0
看到外星人了?王燊超轻松头槌得手 后卫跳都没跳,轻松,0
武磊挑射被扑吕文君补射得手 有种默契叫文武组合,武磊,0
傅博:球迷不支持广州队但氛围非常好 这1分很宝贵,支持,0
谢晖:广州队把这1分看得很重 比赛时间少得可怜,谢晖,0
兴洲腾跃龙鼎3队携手冲甲 草上飞湘涛降入中冠,携手,0
口吐莲花!裁判不给延长时间 谢晖愤怒暴走 怒骂XXX,谢晖,0
大连人后卫业余级失误 解围踢对手脚上然后进了,业余,0
中超-金敃友传射勾俊晨制胜 成都主场3-2逆转申花,制胜,0
中超-廖均健补时绝杀 梅州1-0送广州城三连败,补时,0
中超-巴顿破门谢维军读秒绝杀 天津0-2落后3-2长春,落后,0
"山东""雷神""5场6球+造2乌龙 轰18球距""金靴""只差2球",乌龙,0
捏把汗!泰山战垫底队半场被零封 下半场4分钟轰3球,垫底,0
前瞻-深圳迎海口主场收官 海港冲3连胜稳固三甲,海港,0
莱科:球队处于比较困难时期 希望像一个强大整体,困难,0
郝伟:尝试了新的中场 河北领队:上半场表现还不错,河北,0
韩国14日出发前往卡塔尔 孙兴慜16日抵达多哈会和,抵达,0
克雷桑:赛前知道河北队会收缩 但没想到缩这么紧,赛前,0
全明星正赛-南区力克北区 赵睿27+5+5斩获MVP,赵睿,0
CBA官方:2023年全明星将于3月下旬在福建厦门举办,全明星,0
男篮世界杯于2023年4月29日在菲律宾马尼拉抽签,菲律宾,0
盗窃风波影响不大！周琦更博晒与朋友开趴体并跳水,影响,0
延续世预赛状态！赵睿三分15中7 MVP归他无争议,延续,0
扣篮大赛-李添荣夺冠 空中转体折叠暴扣搏得满分,空中,0
三分球大赛-原帅轰下23分夺冠 胡明轩21分获亚军,胡明轩,0
技巧挑战赛-张宁距登顶仅差一步 王奕博最终夺冠,张宁,0
GIF-外卡名将扣篮砸锅 余嘉豪仰头大笑：没眼看了,名将,0
乔尔杰维奇杜锋观战全明星 男篮新老主帅同框了,全明星,0
GIF-张镇麟秀大风车暴扣 这身手缺席扣篮赛可惜了,缺席,0
GIF-辽宁双子星连线 郭艾伦妙传助张镇麟空接炸扣,辽宁,0
星锐赛一年级力克二年级 张宁23+5+5廖三宁获MVP,张宁,0
全国U17篮球联赛青岛夺冠 杨瀚森荣膺16强赛MVP,青岛,0
中国篮球名人堂未来每届5至10人 外籍有机会入选,中国篮球,0
中国篮协官方:2022年中国篮球名人堂入堂人物确定,中国篮球,0
扣篮预赛-外卡选手飞越余嘉豪隔扣 满分晋级决赛,预赛,4
三分球预赛-原帅21分居首 胡明轩邬挺嘉同进决赛,胡明轩,6
技巧挑战预赛-张宁孙铭徽进决赛 郭艾伦滑倒遭淘汰,张宁,6
力压张宁！廖三宁斩获星锐赛MVP 15分造快攻逆袭,张宁,0
还是那个拼命三郎！张宁全场14投8中砍23分5板5助,张宁,0
GIF-李添荣送出战斧式劈扣 为扣篮大赛先行热身？,热身,0
GIF-李添荣快攻转陀螺上篮得手 引爆女粉丝尖叫,gif,0
GIF-张宁进攻分球底角 祝铭震三分3中3建立优势,张宁,0
CBA官方:因重要悼念活动 12月6日的3场比赛改期,活动,0
"遭入室盗窃！周琦""感谢""小偷:把饼干都吃了 谢谢你",感谢,0
周琦墨尔本家中被盗 几乎所有东西都被洗劫一空,东西,0
治安堪忧！周琦更新社媒 表示在澳洲遭遇入室盗窃,更新,0
汉密尔顿加盟广东抵达国内 待隔离后与球队会合,隔离,0
张镇麟:俞泽辰扣篮大赛尽力就好 他的身体素质很棒,大赛,0
CBA:林书豪对隔离酒店设施发表不当言论 罚款1万元,罚款,0
书豪吐槽赛区简陋健身房:我到底在哪 都是什么垃圾,赛区,0
队友俞泽辰扣篮大赛夺冠几率有多少？郭艾伦：零吧,大赛,0
CBA:张镇麟因伤不能参加扣篮大赛 俞泽辰顶替入选,大赛,0
CBA官方:2022全明星MVP为获胜方最高分者当选,获胜,0
王哲林领衔上海4员伤兵 小丁或缺席第2阶段开局,王哲林,0
赵睿谈被伊朗挑衅:他们对我的情绪做过研究 没上当,伊朗,0
WCBA现役最年长!37岁沪女篮球员黄靖砍20+5+5+5断,女篮,2
辽篮球员俞泽辰顶替张镇麟 参加全明星赛扣篮大赛,大赛,0
曝前中国男篮助教杨文海加盟新疆 任球队助理教练,新疆,0
广厦:孙铭徽伤愈已随队合练 朱俊龙也正式归队,孙铭徽,0
可以现场看球了！CBA公司:全明星赛将开放观众入场,开放,0
仅出战2场！云豹队：霍华德左膝受伤 预计缺席两周,预计,0
FIBA排名：中国男篮世界第27 西班牙超美国排第一,西班牙,0
快来！霍华德喊话安东尼：他来台打球一定很棒,cba,0
CBA第二阶段赛程：首战上海VS山西 辽粤大战收官,vs,0
2022年全明星技巧挑战赛名单：郭艾伦孙铭徽领衔,孙铭徽,0
2022年全明星三分大赛名单：胡明轩领衔原帅入选,胡明轩,0
2022年全明星扣篮大赛名单：张镇麟等6人争扣篮王,全明星,0
2022年全明星星锐赛名单出炉：张宁余嘉豪领衔,张宁,0
